"Sl No","Number of Vote","Date of Votes","Title in English","Title in French","Result","Def. Result","keyword1","keyword2","keyword3","type","Institutions","Theme codes","Turnout","Valid Ballot Sheets","Yes [%]","No [%]","Number of Yes-Votes in National Council","Number of No-Votes in National Council","Number of Abstentions in National Council","Number of Yes-Votes in States Council","Number of No-Votes in States Council","Number of Abstentions in States Council","Recommendation of Government","Total Electorate","Number Of Voters","Yes Votes","No Votes","Number of States accepting","Number of States rejecting","Linked Vote Status","Linked Vote","Without Response","Tie-Break Question: Number of People Supporting","Tie-Break Question: Number of State Supporting","Tie-Break Question: Without Response"
155,462,2000-03-12,"Citizen's initiative ""For the protection  of people against manipulations in  reproductive technology (initiative for  humane reproduction)""","Initiative populaire fédérale 'pour la protection de l'être humain contre les techniques de reproduction artificielle (Initiative pour une procréation respectant la dignité humaine [PPD])'","no",NA,"Reproductive medicine","Research","none","initiative","Initiative (Formulated Draft)","Reproductive medicine | Research | none","42.2",1911167,28.24,"71.76","18","132","27","0","42",NA,"Rejection",4659113,1966168,539795,1371372,NA,"23","none",NA,NA,NA,NA,NA
156,463,2000-03-12,"Citizen's initiative ""To halve motorised  road traffic for the preservation and  improvement of living space (traffic-halving initiative)""","Initiative populaire fédérale 'visant à réduire de moitié le trafic routier motorisé afin de maintenir et d'améliorer des espaces vitaux (initiative pour la réduction du trafic)'","no",NA,"Transport policy","Environmental policy","none","initiative","Initiative (Formulated Draft)","Transport policy | Environmental policy | none","42.38",1948123,21.33,"78.67","30","110","32","0","38",NA,"Rejection",4659113,1974530,415605,1532518,NA,"23","none",NA,NA,NA,NA,NA
157,454,1999-06-13,"Asylum law","Loi sur l'asile (LAsi)","yes",NA,"Refugees","none","none","facultative Referendum","Optional Legislative Referendum (Federal Statutes)","Refugees | none | none","45.58",2044526,70.59,"29.41","114","59","3","36","5",NA,"None",4646450,2117964,1443137,601389,NA,NA,"none",NA,NA,0,NA,0
158,455,1999-06-13,"Federal decree on urgent measures in  relation to asylum-seekers and foreigners","Arrêté fédéral sur les mesures d'urgence dans le domaine de l'asile et des étrangers (AMU)","yes",NA,"Refugees","Immigration policy","none","facultative Referendum","Optional Legislative Referendum (Federal Decrees declared urgent)","Refugees | Immigration policy | none","45.62",2043892,70.84,"29.16","118","60","4","35","7",NA,"None",4646450,2119712,1447984,595908,NA,NA,"none",NA,NA,0,NA,0
159,456,1999-06-13,"Federal decree on prescription of heroin  by doctors","Arrêté fédéral sur la prescription médicale d'héroïne","yes",NA,"Addictive substances","none","none","facultative Referendum","Optional Legislative Referendum (Federal Decrees declared urgent)","Addictive substances | none | none","45.74",2073312,54.42,"45.58","125","56","5","31","3",NA,"None",4646450,2125369,1128393,944919,NA,NA,"none",NA,NA,0,NA,0
160,457,1999-06-13,"Federal law on disability insurance","Loi fédérale sur l'assurance-invalidité (LAI)","no",NA,"Disability insurance","Persons with disabilities","none","facultative Referendum","Optional Legislative Referendum (Federal Statutes)","Disability insurance | Persons with disabilities | none","45.64",2049783,30.29,"69.71","92","77","12","35","4",NA,"None",4646450,2120659,620797,1428986,NA,NA,"none",NA,NA,0,NA,0
161,458,1999-06-13,"Federal law on insurance for motherhood","Loi fédérale sur l'assurance-maternité","no",NA,"Maternity insurance","Status of women","none","facultative Referendum","Optional Legislative Referendum (Federal Statutes)","Maternity insurance | Status of women | none","45.94",2109282,38.99,"61.01","116","58","9","25","10",NA,"None",4646450,2134884,822458,1286824,NA,NA,"none",NA,NA,0,NA,0
162,453,1999-04-18,"Federal decree on a new federal  constitution","Arrêté fédéral relatif à une mise à jour de la Constitution fédérale","yes",NA,"Constitution","none","none","mandatory Referendum","Constitutional Referendum (Total Revision)","Constitution | none | none","35.89",1638468,59.16,"40.84","134","14","31","44","0",NA,"None",4643521,1666869,969310,669158,"13","10","none",NA,NA,0,NA,0
163,449,1999-02-07,"Federal decree on changing the conditions of eligibility for election to the National Council ","Arrêté fédéral concernant la modification des conditions d'éligibilité au Conseil fédéral","yes",NA,"Government, administration","Electoral system","Federalism","mandatory Referendum","Constitutional Referendum (Partialrevision)","Government, administration | Electoral system | Federalism","38.01",1723592,74.67,"25.33","144","37","6","35","1",NA,"None",4641575,1764453,1287081,436511,"21","2","none",NA,NA,0,NA,0
164,450,1999-02-07,"Federal decree on article in the Constitution on transplant medicine","Arrêté fédéral concernant un article constitutionnel sur la médecine de la transplantation","yes",NA,"Medical research and technology","none","none","mandatory Referendum","Constitutional Referendum (Partialrevision)","Medical research and technology | none | none","37.98",1711188,87.77,"12.23","158","11","9","42","0",NA,"None",4641575,1762875,1501925,209263,"23",NA,"none",NA,NA,0,NA,0
165,451,1999-02-07,"Citizen's initiative ""Home-ownership for  all""","Initiative populaire fédérale 'Propriété du logement pour tous'","no",NA,"Building of residential housing, property ownership","Tax system","none","initiative","Initiative (Formulated Draft)","Building of residential housing, property ownership | Tax system | none","38.18",1746742,41.32,"58.68","66","109","10","10","29",NA,"None",4641575,1771969,721717,1025025,"3","20","none",NA,NA,0,NA,0
166,452,1999-02-07,"Federal law on spatial planning  amendment of 20 March 1998","Loi fédérale sur l'aménagement du territoire (LAT)  Modification du 20 mars 1998","yes",NA,"Spatial planning","Protection of nature and cultural heritage","Agricultural policy","facultative Referendum","Optional Legislative Referendum (Federal Statutes)","Spatial planning | Protection of nature and cultural heritage | Agricultural policy","37.96",1702612,55.94,"44.06","104","60","13","38","3",NA,"None",4641575,1762026,952482,750130,NA,NA,"none",NA,NA,0,NA,0
167,445,1998-11-29,"Federal decree on the construction  and finance of public transport  infrastructure plans","Arrêté fédéral relatif à la réalisation et au financement des projets d'infrastructure des transports publics","yes",NA,"Goods traffic","Indirect taxation","none","mandatory Referendum","Constitutional Referendum (Partialrevision)","Goods traffic | Indirect taxation | none","38.31",1739008,63.5,"36.5","126","30","20","31","7",NA,"None",4638305,1777023,1104294,634714,"20.5","2.5","none",NA,NA,0,NA,0
168,446,1998-11-29,"Federal decree on a temporary new  article in the Constitution on cereals","Arrêté fédéral sur un nouvel article céréalier de durée limitée","yes",NA,"Crop production","none","none","mandatory Referendum","Constitutional Referendum (Partialrevision)","Crop production | none | none","38.03",1660058,79.43,"20.57","153","8","8","36","0",NA,"None",4638305,1763920,1318585,341473,"23",NA,"none",NA,NA,0,NA,0
169,447,1998-11-29,"Citizen's initiative ""For a sensible drugs policy""","Initiative populaire 'pour une politique raisonnable en matière de drogue'","no",NA,"Addictive substances","none","none","initiative","Initiative (Formulated Draft)","Addictive substances | none | none","38.37",1743521,26.01,"73.99","42","112","17","0","20",NA,"None",4638305,1779697,453451,1290070,NA,"23","none",NA,NA,0,NA,0
170,448,1998-11-29,"Federal law on employment in industry   trade and commerce","Loi fédérale sur le travail dans l'industrie  l'artisanat et le commerce (Loi sur le travail)","yes",NA,"Employment conditions","Status of women","none","facultative Referendum","Optional Legislative Referendum (Federal Statutes)","Employment conditions | Status of women | none","38.11",1692989,63.38,"36.62","154","13","9","37","0",NA,"None",4638305,1767694,1072978,620011,NA,NA,"none",NA,NA,0,NA,0
171,442,1998-09-27,"Federal law on engine size-related heavy  goods vehicle tax","Loi fédérale concernant une redevance sur le trafic des poids lourds liée aux prestations (Loi relative à une redevance sur le trafic des poids lourds  LRPL)","yes",NA,"Heavy traffic","Indirect taxation","Environmental policy","facultative Referendum","Optional Legislative Referendum (Federal Statutes)","Heavy traffic | Indirect taxation | Environmental policy","51.8",2370105,57.2,"42.8","120","46","18","22","14",NA,"None",4637498,2402260,1355735,1014370,NA,NA,"none",NA,NA,0,NA,0
172,443,1998-09-27,"Citizen's initiative ""For inexpensive  foodstuffs and ecological farming""","Initiative populaire 'pour des produits alimentaires bon marché et des exploitations agricoles écologiques'","no",NA,"Agricultural policy","Environmental policy","none","initiative","Initiative (Formulated Draft)","Agricultural policy | Environmental policy | none","51.57",2329464,23,"77","50","102","19","0","37",NA,"None",4637498,2391658,535873,1793591,NA,"23","none",NA,NA,0,NA,0
173,444,1998-09-27,"Citizen's initiative ""For the 10th revision of old age insurance without raising the retirement age""","Initiative populaire 'pour la 10e révision de l'AVS sans relèvement de l'âge de la retraite'","no",NA,"Pension insurance","Status of women","none","initiative","Initiative (Formulated Draft)","Pension insurance | Status of women | none","51.62",2348105,41.48,"58.52","69","111","1","5","36",NA,"None",4637498,2394024,973966,1374139,"5","18","none",NA,NA,0,NA,0
174,439,1998-06-07,"Federal decree on budget balancing measures ","Arrêté fédéral instituant des mesures visant à équilibrer le budget","yes",NA,"Public expenditure","none","none","mandatory Referendum","Constitutional Referendum (Partialrevision)","Public expenditure | none | none","40.92",1810815,70.7,"29.3","110","63","10","37","6",NA,"None",4629396,1894433,1280329,530486,"23",NA,"none",NA,NA,0,NA,0
175,440,1998-06-07,"Citizen's initiative ""To protect life and  the environment from genetic manipulation  (gene protection initiative)""","Initiative populaire 'pour la protection de la vie et de l'environnement contre les manipulations génétiques (Initiative pour la protection génétique)'","no",NA,"Genetic engineering","Environmental policy","Medical research and technology","initiative","Initiative (Formulated Draft)","Genetic engineering | Environmental policy | Medical research and technology","41.32",1877266,33.29,"66.71","44","107","20","0","40",NA,"None",4629396,1913034,624964,1252302,NA,"23","none",NA,NA,0,NA,0
176,441,1998-06-07,"Citizen's initiative ""Switzerland without  police snooping""","Initiative populaire 'S.o.S. - pour une Suisse sans police fouineuse'","no",NA,"State security","Fundamental rights","Police","initiative","Initiative (Formulated Draft)","State security | Fundamental rights | Police","40.99",1834144,24.59,"75.41","60","124","1","4","32",NA,"None",4629396,1897624,451089,1383055,NA,"23","none",NA,NA,0,NA,0
177,437,1997-09-28,"Federal decree of 13 December 1996  on financing unemployment insurance","Arrêté fédéral du 13 décembre 1996 sur le financement de l'assurance-chômage","no",NA,"Unemployment insurance","Budget cuts and remediation measures","none","facultative Referendum","Optional Legislative Referendum (Federal Decrees declared urgent)","Unemployment insurance | Budget cuts and remediation measures | none","40.63",1832818,49.18,"50.82","105","65","2","36","5",NA,"None",4618943,1876622,901361,931457,NA,NA,"none",NA,NA,0,NA,0
178,438,1997-09-28,"Citizen's initiative ""Youth without drugs""","Initiative populaire 'Jeunesse sans drogue'","no",NA,"Addictive substances","Children and young people","none","initiative","Initiative (Formulated Draft)","Addictive substances | Children and young people | none","40.83",1859773,29.34,"70.66","43","100","28",NA,NA,NA,"None",4618943,1886054,545713,1314060,NA,"23","none",NA,NA,0,NA,0
179,434,1997-06-08,"Citizen's initiative ""Negotiations on  joining the EU: let the people decide!""","Initiative populaire fédérale 'Négociations d'adhésion à l'UE: que le peuple décide!'","no",NA,"EU","Referendum","none","initiative","Initiative (Formulated Draft)","EU | Referendum | none","35.44",1606160,25.95,"74.05","10","174","3","0","37",NA,"None",4614860,1635564,416720,1189440,NA,"23","none",NA,NA,NA,NA,NA
180,435,1997-06-08,"Citizen's initiative ""For a prohibition on the export of materials of war""","Initiative populaire fédérale 'pour l'interdiction d'exporter du matériel de guerre'","no",NA,"Foreign trade policy","Arms","none","initiative","Initiative (Formulated Draft)","Foreign trade policy | Arms | none","35.47",1605033,22.5,"77.5","60","111","6","3","32",NA,"None",4614860,1636833,361164,1243869,NA,"23","none",NA,NA,0,NA,0
181,436,1997-06-08,"Federal decree on cessation of the federal monopoly on the manufacture and sale of gunpowder","Arrêté fédéral concernant la suppression de la régale des poudres","yes",NA,"Arms","Competition policy","none","mandatory Referendum","Constitutional Referendum (Partialrevision)","Arms | Competition policy | none","35.25",1543211,82.18,"17.82","182","17","0","43","0",NA,"None",4614860,1626896,1268162,275049,"23",NA,"none",NA,NA,0,NA,0
182,432,1996-12-01,"Citizen's initiative ""Against illegal immigration""","Arrêté fédéral concernant l'initiative populaire 'contre l'immigration clandestine'","no",NA,"Refugees","none","none","initiative","Initiative (Formulated Draft)","Refugees | none | none","46.75",2121168,46.34,"53.66","36","139","1","3","35",NA,"None",4612166,2156106,982867,1138301,"11","12","none",NA,NA,0,NA,0
